iter	RMSE
288	2.058798349
289	2.053015764
290	2.050348372
291	2.043238147
292	2.036773955
293	2.033762013
294	2.031029407
295	2.027708543
296	2.019897504
297	2.012633708
298	2.009810228
299	2.003189396
300	1.996162173
301	1.990257607
302	1.981217006
303	1.978819435
304	1.977157378
305	1.973020846
306	1.96726554
307	1.96082037
308	1.958635704
309	1.950386097
310	1.948796991
311	1.943920038
312	1.941801737
313	1.935109853
314	1.929105907
315	1.925558642
316	1.92141087
317	1.919536223
318	1.914514922
319	1.907998859
320	1.903233616
321	1.901870897
322	1.894689332
323	1.889838573
324	1.887456516
325	1.88582216
326	1.883404888
327	1.881175037
328	1.876833294
329	1.867543151
330	1.860236769
331	1.855340353
332	1.852577057
333	1.847242698
334	1.845158138
335	1.838180191
336	1.835880434
337	1.830719335
338	1.82948738
339	1.82572501
340	1.824023871
341	1.818722931
342	1.814305955
343	1.812744057
344	1.811381631
345	1.804226294
346	1.803073609
347	1.800683459
348	1.795670499
349	1.793537451
350	1.792069179
351	1.786036817
352	1.782364597
353	1.775492521
354	1.773951861
355	1.77266008
356	1.771452077
357	1.767167727
358	1.765742295
359	1.76105434
360	1.755466309
361	1.752002537
362	1.750512579
363	1.74484357
364	1.74284556
365	1.742244913
366	1.7376557
367	1.735911859
368	1.730596622
369	1.726617025
370	1.721004629
371	1.718159071
372	1.712919175
373	1.709316913
374	1.703978529
375	1.700178252
376	1.698772994
377	1.693392118
378	1.688693621
379	1.688197305
380	1.682894326
381	1.680699752
382	1.675694141
383	1.672386885
384	1.670637865
385	1.665456175
386	1.660397791
387	1.657733987
388	1.654734372
389	1.651159239
390	1.650157039
391	1.647342639
392	1.64137944
393	1.639833851
394	1.635165477
395	1.634685734
396	1.630138523
397	1.628444625
398	1.627360819
399	1.626478643
400	1.624453733
401	1.619315724
402	1.61825254
403	1.617046829
404	1.616116469
405	1.614389627
406	1.60881772
407	1.604539076
408	1.599683972
409	1.599384406
410	1.595018606
411	1.592493143
412	1.588646268
413	1.58750022
414	1.584512906
415	1.582766323
416	1.575489375
417	1.573809306
418	1.572701392
419	1.567950995
420	1.561986297
421	1.56072357
422	1.556843019
423	1.552046175
424	1.547427903
425	1.545839475
426	1.541203152
427	1.540313769
428	1.537446203
429	1.536354442
430	1.53147293
431	1.529966725
432	1.525010948
433	1.518074382
434	1.517017167
435	1.512383616
436	1.507314672
437	1.50369389
438	1.498811164
439	1.494969603
440	1.494179811
441	1.492249357
442	1.488249769
443	1.487372595
444	1.483862842
445	1.482131388
446	1.478627678
447	1.477474759
448	1.47662023
449	1.473741206
450	1.469813871
451	1.464347666
452	1.463242817
453	1.459358047
454	1.456201933
455	1.455322774
456	1.454191015
457	1.453121085
458	1.452244232
459	1.448886142
460	1.447917644
461	1.446909371
462	1.442120008
463	1.439651851
464	1.436048272
465	1.431175997
466	1.428178007
467	1.423408453
468	1.422210798
469	1.417507476
470	1.411764105
471	1.410741438
472	1.407633831
473	1.406559825
474	1.402017949
475	1.400991523
476	1.400182371
477	1.399420659
478	1.398100209
479	1.396464515
480	1.391792754
481	1.387386779
482	1.383203646
483	1.381814719
484	1.381077432
485	1.375945068
486	1.371747765
487	1.368753698
488	1.367424882
489	1.364786017
490	1.364003968
491	1.360566654
492	1.359707915
493	1.358308944
494	1.354924225
495	1.354667942
496	1.351405304
497	1.350823943
498	1.349801318
499	1.346555558
500	1.343157999
501	1.342007014
502	1.338784348
503	1.335624869
504	1.333312257
505	1.330104895
506	1.32753268
507	1.323122498
508	1.320276703
509	1.316398608
510	1.315071633
511	1.314359025
512	1.313554597
513	1.309672673
514	1.307530091
515	1.306718904
516	1.306360364
517	1.301778855
518	1.29987387
519	1.298660338
520	1.295504039
521	1.290956528
522	1.289808616
523	1.288958606
524	1.28509964
525	1.281183929
526	1.275349624
527	1.27414434
528	1.269791151
529	1.267593563
530	1.265917902
531	1.264992329
532	1.261873052
533	1.259072806
534	1.25549998
535	1.251481621
536	1.248469479
537	1.245297167
538	1.244131272
539	1.243056726
540	1.241683106
541	1.2404487
542	1.23993925
543	1.23634691
544	1.235344761
545	1.232686161
546	1.231840165
547	1.22706043
548	1.22367921
549	1.221457084
550	1.219173848
551	1.218053622
552	1.217014228
553	1.214474671
554	1.211667788
555	1.206574659
556	1.205818719
557	1.203044125
558	1.199974345
559	1.199174395
560	1.196909717
561	1.196011821
562	1.195725188
563	1.193130821
564	1.187790482
565	1.187487641
566	1.187284319
567	1.186395465
568	1.185209594
569	1.184529024
570	1.184276884
571	1.182071705
572	1.178879569
573	1.176327596
574	1.173708452
575	1.171274577
576	1.168566595
577	1.166327255
578	1.163350909
579	1.158401281
580	1.155498303
581	1.154221028
582	1.153305352
583	1.150557403
584	1.149634492
585	1.14935756
586	1.149064191
587	1.148187066
588	1.147323768
589	1.144307194
590	1.141362557
591	1.140459728
592	1.139598156
593	1.138477882
594	1.134655728
595	1.132626725
596	1.13192229
597	1.129706844
598	1.129008361
599	1.125543824
600	1.122450672
601	1.121554441
602	1.121351226
603	1.119319323
604	1.116366599
605	1.112188941
606	1.107653011
607	1.107023587
608	1.104335868
609	1.103729018
610	1.099693382
611	1.099552936
612	1.097504856
613	1.09706374
614	1.096355351
615	1.09323138
616	1.092268215
617	1.088720348
618	1.08751523
619	1.086815767
620	1.084103413
621	1.083533266
622	1.080752878
623	1.077605768
624	1.076105287
625	1.074182137
626	1.071282235
627	1.070568853
628	1.067990224
629	1.06704417
630	1.066540092
631	1.06428385
632	1.063538892
633	1.063301282
634	1.062829645
635	1.060954904
636	1.059025861
637	1.057133214
638	1.056840469
639	1.052670146
640	1.051343764
641	1.047596204
642	1.045276026
643	1.044092136
644	1.042295129
645	1.039523613
646	1.039005327
647	1.036669583
648	1.03624627
649	1.035651225
650	1.033494263
651	1.033159783
652	1.032894893
653	1.032060129
654	1.030742448
655	1.02948761
656	1.028173384
657	1.025911896
658	1.025037653
659	1.024446194
660	1.022226734
661	1.021516569
662	1.02096886
663	1.02033925
664	1.01873643
665	1.018092538
666	1.016458314
667	1.016126126
668	1.015633156
669	1.01434404
670	1.011411772
671	1.010357648
672	1.009290989
673	1.008525601
674	1.007786866
675	1.005424006
676	1.003702703
677	1.002600081
678	0.9994427395
679	0.9975209205
680	0.9969697502
681	0.9964458881
682	0.995991019
683	0.9925733978
684	0.9900309774
685	0.988051403
686	0.9874403064
687	0.9848479288
688	0.9827378361
689	0.9817922293
690	0.9811773351
691	0.9806719602
692	0.9784968666
693	0.977818893
694	0.9771739317
695	0.9756007298
696	0.9735073804
697	0.9711949637
698	0.9699041296
699	0.9694936539
700	0.9679698873
701	0.9668680902
702	0.9663790007
703	0.9647420213
704	0.963946458
705	0.963511682
706	0.9619744043
707	0.9616283232
708	0.9599849162
709	0.9583570964
710	0.9563465948
711	0.9544193704
712	0.9520951678
713	0.9492654884
714	0.9488019596
715	0.9469582361
716	0.9465065513
717	0.9440846894
718	0.942920129
719	0.9424850522
720	0.9418073782
721	0.9412765197
722	0.939528932
723	0.9383189375
724	0.9360663933
725	0.9333967957
726	0.9320588828
727	0.9317802764
728	0.9312987699
729	0.9303345873
730	0.9297718979
731	0.9288109739
732	0.9286460986
733	0.9269148922
734	0.9244275311
735	0.9239095956
736	0.9231468712
737	0.9227261261
738	0.9215782445
739	0.9191078104
740	0.9181818006
741	0.9168193272
742	0.9146994509
743	0.9142154555
744	0.9135789567
745	0.9117868584
746	0.9106912773
747	0.9091028738
748	0.9086884645
749	0.9066903137
750	0.9049634895
751	0.9035097452
752	0.9015330401
753	0.9012296328
754	0.9008313553
755	0.9002487824
756	0.899897297
757	0.8993891907
758	0.8980376203
759	0.8965267372
760	0.8959602523
761	0.8936720409
762	0.8920311305
763	0.8894845845
764	0.8884662115
765	0.8866511764
766	0.8852895975
767	0.8847982931
768	0.8833773311
769	0.8823356748
770	0.8815952123
771	0.8794177013
772	0.8776711181
773	0.8772778767
774	0.8768656937
775	0.8765045887
776	0.8760874513
777	0.8750980213
778	0.8747332722
779	0.8725293074
780	0.8695654301
781	0.8693509948
782	0.8670654124
783	0.8655121983
784	0.8647329952
785	0.8641708493
786	0.8621250181
787	0.8605490602
788	0.8600183234
789	0.8597976198
790	0.8588682241
791	0.8575901715
792	0.8569282151
793	0.855015862
794	0.8548205309
795	0.8526774729
796	0.8517446556
797	0.8511279374
798	0.850749893
799	0.8490638627
800	0.8470635335
801	0.8451209488
802	0.8442123126
803	0.8435145213
804	0.8431534193
805	0.8419882856
806	0.8399922509
807	0.838438302
808	0.8361455512
809	0.8338838737
810	0.8315834363
811	0.8295988113
812	0.8276244176
813	0.8261235346
814	0.8246951234
815	0.8244330635
816	0.8225976556
817	0.8213443371
818	0.8205551387
819	0.8186551523
820	0.816843834
821	0.8154305941
822	0.8151939461
823	0.8144164712
824	0.8140159761
825	0.8137583526
826	0.8122337029
827	0.8107794512
828	0.8089498686
829	0.8066481202
830	0.8063389956
831	0.8059426358
832	0.8056253533
833	0.8033186293
834	0.8024815871
835	0.8019631024
836	0.8006408914
837	0.8003796658
838	0.7991977333
839	0.7985953151
840	0.7984824918
841	0.79793065
842	0.7975470162
843	0.7955036275
844	0.7952419926
845	0.7932707352
846	0.7922610506
847	0.7906208043
848	0.78893661
849	0.7873707164
850	0.7862595852
851	0.7852348742
852	0.7841693732
853	0.7822716304
854	0.7820277233
855	0.7814753504
856	0.7801353772
857	0.7784096347
858	0.7772237757
859	0.7764813528
860	0.77552863
861	0.7747177373
862	0.7723817493
863	0.7714977564
864	0.7712642849
865	0.7703504697
866	0.7696986819
867	0.768077256
868	0.7674588432
869	0.7662057311
870	0.7643920827
871	0.7639990477
872	0.7622032728
873	0.7610422597
874	0.7598140408
875	0.7592150128
876	0.7577001449
877	0.7572525571
878	0.7559811443
879	0.7542968693
880	0.7540463398
881	0.7531283405
882	0.751307358
883	0.750141825
884	0.7481373637
885	0.7477693671
886	0.7459417149
887	0.7453741965
888	0.7438594011
889	0.7434980228
890	0.7418232415
891	0.7405187172
892	0.7395199613
893	0.7376239627
894	0.7357343893
895	0.7344662487
896	0.7334267349
897	0.7324977601
898	0.7321696482
899	0.7314207169
900	0.7299382464
901	0.7289941706
902	0.7275230316
903	0.7263902873
904	0.7248467476
905	0.7242835289
906	0.7229537587
907	0.7209978413
908	0.7205792407
909	0.719953052
910	0.7185999467
911	0.7177045549
912	0.7164447341
913	0.7161181841
914	0.7146978463
915	0.713876188
916	0.7128145638
917	0.7119438869
918	0.7114086716
919	0.7098556536
920	0.7094949085
921	0.7084995461
922	0.707377603
923	0.7070078271
924	0.7057097079
925	0.7055221303
926	0.7048639361
927	0.7034380021
928	0.7031877499
929	0.7027312675
930	0.7007915347
931	0.700391738
932	0.699455852
933	0.6990481474
934	0.6978001559
935	0.6976349272
936	0.6965241779
937	0.6959922239
938	0.695165376
939	0.6934055857
940	0.6929446895
941	0.6912828408
942	0.6910402033
943	0.6898395515
944	0.6889906796
945	0.6877921077
946	0.6855598431
947	0.6841135694
948	0.683798671
949	0.6830850226
950	0.6821005784
951	0.6819001674
952	0.6816436861
953	0.6799459246
954	0.6793714508
955	0.6787033561
956	0.6782753731
957	0.6780612041
958	0.6776604409
959	0.676398822
960	0.6761827358
961	0.6756245704
962	0.6754380438
963	0.6742762184
964	0.6729543453
965	0.6727804126
966	0.6717292477
967	0.6714563872
968	0.6701998739
969	0.6699350646
970	0.6694969707
971	0.6684337418
972	0.6682262579
973	0.6669393417
974	0.6661041648
975	0.6656119984
976	0.665247486
977	0.6635615634
978	0.6633354355
979	0.6619172665
980	0.6609308033
981	0.6603747701
982	0.6580826052
983	0.6568812505
984	0.6558883336
985	0.6554694504
986	0.6540033952
987	0.6537208221
988	0.6535107428
989	0.6529250062
990	0.6519116884
991	0.6506627843
992	0.6495713473
993	0.6485716723
994	0.6467848157
995	0.6464698091
996	0.6460686437
997	0.6458472096
998	0.6455358254
999	0.6442559653
