"Sub-Sector","Super Region","Sector","Measure","Frequency","Region","Source","Indicator","Subject","Super Region","Value","Date Value","Period Value"
"INTEREST RATES","GLOBAL DATA","FINANCIAL MARKET","PERCENT PER ANNUM","M","EURO AREA(19 COUNTRIES)","OECD","SHORT-TERM INTEREST RATES","TOTAL","GLOBAL DATA","-0.310","2016-11-30","d"
"INTEREST RATES","GLOBAL DATA","FINANCIAL MARKET","PERCENT PER ANNUM","M","EURO AREA(19 COUNTRIES)","OECD","SHORT-TERM INTEREST RATES","TOTAL","GLOBAL DATA","-0.310","2016-10-31","d"
"INTEREST RATES","GLOBAL DATA","FINANCIAL MARKET","PERCENT PER ANNUM","M","EURO AREA(19 COUNTRIES)","OECD","SHORT-TERM INTEREST RATES","TOTAL","GLOBAL DATA","-0.300","2016-09-30","d"
"INTEREST RATES","GLOBAL DATA","FINANCIAL MARKET","PERCENT PER ANNUM","M","EURO AREA(19 COUNTRIES)","OECD","SHORT-TERM INTEREST RATES","TOTAL","GLOBAL DATA","-0.300","2016-08-31","d"
"INTEREST RATES","GLOBAL DATA","FINANCIAL MARKET","PERCENT PER ANNUM","M","EURO AREA(19 COUNTRIES)","OECD","SHORT-TERM INTEREST RATES","TOTAL","GLOBAL DATA","-0.290","2016-07-31","d"
"INTEREST RATES","GLOBAL DATA","FINANCIAL MARKET","PERCENT PER ANNUM","M","EURO AREA(19 COUNTRIES)","OECD","SHORT-TERM INTEREST RATES","TOTAL","GLOBAL DATA","-0.270","2016-06-30","d"
"INTEREST RATES","GLOBAL DATA","FINANCIAL MARKET","PERCENT PER ANNUM","M","EURO AREA(19 COUNTRIES)","OECD","SHORT-TERM INTEREST RATES","TOTAL","GLOBAL DATA","-0.260","2016-05-31","d"
"INTEREST RATES","GLOBAL DATA","FINANCIAL MARKET","PERCENT PER ANNUM","M","EURO AREA(19 COUNTRIES)","OECD","SHORT-TERM INTEREST RATES","TOTAL","GLOBAL DATA","-0.250","2016-04-30","d"
"INTEREST RATES","GLOBAL DATA","FINANCIAL MARKET","PERCENT PER ANNUM","M","EURO AREA(19 COUNTRIES)","OECD","SHORT-TERM INTEREST RATES","TOTAL","GLOBAL DATA","-0.230","2016-03-31","d"
"INTEREST RATES","GLOBAL DATA","FINANCIAL MARKET","PERCENT PER ANNUM","M","EURO AREA(19 COUNTRIES)","OECD","SHORT-TERM INTEREST RATES","TOTAL","GLOBAL DATA","-0.180","2016-02-29","d"
"INTEREST RATES","GLOBAL DATA","FINANCIAL MARKET","PERCENT PER ANNUM","M","EURO AREA(19 COUNTRIES)","OECD","SHORT-TERM INTEREST RATES","TOTAL","GLOBAL DATA","-0.150","2016-01-31","d"
"INTEREST RATES","GLOBAL DATA","FINANCIAL MARKET","PERCENT PER ANNUM","M","EURO AREA(19 COUNTRIES)","OECD","SHORT-TERM INTEREST RATES","TOTAL","GLOBAL DATA","-0.130","2015-12-31","d"
"INTEREST RATES","GLOBAL DATA","FINANCIAL MARKET","PERCENT PER ANNUM","M","EURO AREA(19 COUNTRIES)","OECD","SHORT-TERM INTEREST RATES","TOTAL","GLOBAL DATA","-0.090","2015-11-30","d"
"INTEREST RATES","GLOBAL DATA","FINANCIAL MARKET","PERCENT PER ANNUM","M","EURO AREA(19 COUNTRIES)","OECD","SHORT-TERM INTEREST RATES","TOTAL","GLOBAL DATA","-0.050","2015-10-31","d"
"INTEREST RATES","GLOBAL DATA","FINANCIAL MARKET","PERCENT PER ANNUM","M","EURO AREA(19 COUNTRIES)","OECD","SHORT-TERM INTEREST RATES","TOTAL","GLOBAL DATA","-0.040","2015-09-30","d"
"INTEREST RATES","GLOBAL DATA","FINANCIAL MARKET","PERCENT PER ANNUM","M","EURO AREA(19 COUNTRIES)","OECD","SHORT-TERM INTEREST RATES","TOTAL","GLOBAL DATA","-0.030","2015-08-31","d"
"INTEREST RATES","GLOBAL DATA","FINANCIAL MARKET","PERCENT PER ANNUM","M","EURO AREA(19 COUNTRIES)","OECD","SHORT-TERM INTEREST RATES","TOTAL","GLOBAL DATA","-0.020","2015-07-31","d"
